course_id;course_name;professor;department;semester;days;time;description
COMPLIT  140;Travel Writing as World Literature: From Marco Polo to Italo Calvino (And Beyond);Wisniewski;Comparative Literature;2022 Spring;"[{""days"":""T""}]";3:00pm -  5:45pm;A survey of literary masterpieces from Marco Polo to Italo Calvino (and beyond), this seminar offers students a thorough introduction to travel literature written around the world from 1300 to 2021. In reading a diverse geographical and linguistic range of travel writers, the course will also feature the work of the Danish writer, Karen Blixen, whose travel memoirs will be studied alongside the letters from Africa and selections from the European settings of her short fiction. Students will writ
ENGLISH  CFF;From Fact to Fiction: Finding & Shaping a Story: Workshop;Messud;English;2021 Fall;"[{""days"":""W""}]";3:00pm -  5:45pm;In this course, we will explore the evolution of a story from a factual anecdote or incident to a fictional creation. The aims of the semester are to learn to listen to someone else’s story in interviews, and to endeavor to find, from there, the necessary bones for a fictional narrative. What is most urgent? What is most emotionally affecting? What are the details from an interview that stay with you? And from there: what, from a broader account, is the story you are moved to relate? Once
E-PSCI  187;Biogeochemistry;Pearson;Earth & Planetary Sciences;2022 Spring;"[{""days"":""T""},{""days"":""Th""}]";9:00am -  10:15am;Introduction to biological and organic chemistry of the Earth's environment. Primary focus on formation, processing, and preservation of organic carbon, with emphasis on paleoenvironmental applications and on processes occurring at the molecular level.
SOCIOL 1166;Sociology of Poverty;Bradlow;Sociology;2021 Fall;"[{""days"":""M""},{""days"":""W""}]";1:30pm -  2:45pm;Both the reproduction and reduction of poverty are the focus of this course. We ask questions like: Why does poverty exist? Who makes it? Which people are most affected? Which institutions govern it? How does it change? The course begins with readings that help us to understand why poverty is so important and how it is measured. It then proceeds to consider class, race, and gender, as key social, economic, and cultural dimensions in which to understand the production and reproduction of poverty.
MUSIC  161R;Advanced Composition;Czernowin;Music;2022 Spring;"[{""days"":""M""}]";9:45am -  11:45am;In this course, students will challenge modes of composition and methods of creation through a series of projects, listening, and score study. Creative projects will encourage students to zero in on harmonic language, rhythm, pitch, text, texture, and orchestration through exploration and experimentation. The class offers space for students to create within their own aesthetic preferences, while also challenging them to grow by trying out new approaches and techniques. The majority of meetings w
LATIN  112B;Latin Literature: Texts and Contexts;Peirano Garrison;Classics, The;2022 Spring;"[{""days"":""T""},{""days"":""Th""}]";10:30am -  11:45am;This year-long course is designed to help students develop a map of Latin literary culture. Students are allowed to take either or both halves of the course. The class prepares students to discuss Latin literature in its historical and cultural context with chronology, genre, theme, performance, and reception context as organizational frameworks. Through prepared translation of assigned text, reading practice sessions, and interpretative exercises, students will improve their reading fluenc
HIST 1700;The History of Sub-Saharan Africa to 1860;Akyeampong;History;2021 Fall;"[{""days"":""M""},{""days"":""W""}]";10:30am -  11:45am;Survey of sub-Saharan Africa to 1860, with attention to the range of methodologies used in writing early African history, including oral history, archaeology, and anthropology. Will address themes of the impact of climate change on migration and settlement, trade and commerce, state formation, slavery, and the impact of Islam and Christianity on the continent. Will provide a methodological and historiographical framework in which more specific historical processes and events may be placed and un
PSY 1816;Broken Brains: Mechanisms and Markers of Mental Illness;Pereira Piccolo Ribeiro;Psychology;2021 Fall;"[{""days"":""M""}]";12:45pm -  2:45pm;This course will integrate clinical psychology and cognitive neuroscience to explore the biological underpinnings of mental illness. We will adopt a systems-level approach, examining the relationship between function and dysfunction of specific brain circuits and networks and mental health disorders. For example, addiction, disordered eating, depression, and psychosis have all been linked to the brain’s reward system. What does this common neural foundation indicate and how has this discov
EMR 1010;Topics in Latinx Studies: Imagining Latinidad;Mendoza-Mori;Ethnicity, Migration, Rights;2021 Fall;"[{""days"":""M""},{""days"":""W""}]";12:00pm -  1:15pm;This course is intended to provide hands-on practice toward doing research on Latinx issues, with an approach grounded in the understanding that terms ‘Hispanic’ and ‘Latinidad’ are not static concepts and, at the same time, not a homogeneous mix. We will examine culture, intellectual production, languages, economics, and political thought, as well as the dynamics of Latino/a/e people in the United States. Throughout the class, students will become familiar with a wide ra
AFVS  107;Studies of the Built North American Environment since 1580;Stilgoe;Art, Film, and Visual Studies;2021 Fall;"[{""days"":""T""},{""days"":""Th""}]";9:00am -  10:15am;North America as an evolving visual environment is analyzed as a systems concatenation involving such constituent elements as farms, small towns, shopping malls, highways, suburbs, and as depicted in fiction, poetry, cartography, television, cinema, and advertising and cybernetic simulation.
ANE  170;Food and Identity in Ancient Israel;Rhyder;Near Eastern Languages & Civ;2022 Spring;"[{""days"":""W""}]";3:00pm -  5:00pm;Food and eating profoundly shaped social, religious, economic, and cultural life in antiquity. This course will explore how dietary practices established social bonds and ethnic boundaries in ancient Israel, as well as the importance of food in mediating the Israelites’ relationships with God, animals, and the environment. The course will be structured around key themes that concern patterns of eating in ancient Israel and the Near East, including food prohibitions, sacrifice, royal banque
UYGHUR  120A;Intermediate/Advanced Uyghur;Gulina;East Asian Langs & Civ;2021 Fall;"[{""days"":""M""},{""days"":""W""},{""days"":""F""}]";9:00am -  10:15am;Additional training in modern Uyghur, with attention to improvement of spoken fluency and comprehension. Extensive readings in a range of genres, including historical writing and academic prose as well as religious texts.
JAPAN  120A 001;Intermediate Japanese I;Miyagawa;East Asian Langs & Civ;2021 Fall;"[{""days"":""M""},{""days"":""T""},{""days"":""W""},{""days"":""Th""}]";9:00am -  10:00am;Second-year intermediate level course aimed at consolidation of the basic grammatical patterns of Japanese and development of reading, writing, speaking, and listening skills to the level necessary for communication in everyday life in Japanese society. Introduction of approximately 150 Chinese characters beyond those introduced in Bb.
ENGLISH  181A;Introduction to Asian American Literature: What Is Asian American Literature?;Kim;English;2021 Fall;"[{""days"":""T""},{""days"":""Th""}]";12:00pm -  1:15pm;Aiiieeeee! An Anthology of Asian-American Writers (1974) was one of the earliest attempts to collect writings that were, to quote the editors, “exclusively Asian-American.” Yet as their lengthy—and controversial—explanation of the selection process makes clear, Asian American literature defies neat categorization. This course is both a survey of Asian American literature and an introduction to ongoing debates about what constitutes Asian American literature. We will study
JAPNLIT  170;Traditional Japanese Literature: From Mythology to (Early) Modernity;Atherton;East Asian Langs & Civ;2022 Spring;"[{""days"":""T""},{""days"":""Th""}]";1:30pm -  2:45pm;Poetry written by gods, incestuous aristocratic romances, exorcist theater, samurai fantasy novels, fart literature: traditional Japanese literature has something for everyone, and invites us to rethink our assumptions about what literature is and how creativity works. From the most ancient myths up to the 19th century arrival of Western style modernity, we will explore together the relationships between high art and pulp fiction, the stage and the page, words and illustrations, manuscript and p
PHIL  141;Frege, Russell, and the Early Wittgenstein;Goldfarb;Philosophy;2022 Spring;"[{""days"":""M""},{""days"":""W""}]";3:00pm -  4:15pm;An examination of the beginnings of analytic philosophy, with primary interest in the reformulation of traditional philosophical problems by these three authors and the analytic and logical methods they introduced to treat them.
PSY 1311;Precision Cognitive Neuroscience: Opportunities Afforded by Deep, Intensive Study Within Individuals;Buckner;Psychology;2022 Spring;"[{""days"":""M""}]";3:45pm -  5:45pm;What are the opportunities afforded by doing experimental work fully within an individual rather than the more traditional approach of seeking central tendencies in groups? The field of cognitive neuroscience, like many others, confronts a tension between questions and experimental approaches that seek to generalize across individuals versus those that seek to describe detailed characterization within the individual. In this seminar historical perspectives and recent technological advances will
FRENCH  150;Voyages and Voyageurs in Early Modern France;Conley;Romance Languages & Lit;2022 Spring;"[{""days"":""Th""}]";12:45pm -  2:45pm;"Juxtaposing cartography with travel literature of in the wake of the Columbian discoveries, this course studies how new and other worlds take shape in 16th century France.  If the Renaissance is marked by (1) the advent of Albertian perspective; (2) the invention and implementation of the printing press; (3) the effects of oceanic travel, then: displacement, estrangement, conflict, and adventure (in an economic and colonial sense) become keynote.  In our time, what we make of them in t"
RELIGION 1604;Finding God in a Lovely Place: Comparative Theology in a South Indian Context;Clooney;Religion, The Study of;2022 Spring;"[{""days"":""M""},{""days"":""W""}]";10:30am -  11:45am;This course in Hindu-Christian comparative theology is situated in India, with a difference. It steers away from Sanskrit philosophical, theological texts, learning instead from a vernacular tradition, the 2000-year-old literary archive of Tamil south India, so rich in lovely poems, dramas, proverbs, epics and devotional hymns, Jain and Hindu and more, vividly alive in an ancient land blessed with a non-Indo-European language and culture that flourish even today. This experimental course is
LING  106;Knowledge of Meaning;Sag-Parvardeh;Linguistics;2022 Spring;"[{""days"":""T""},{""days"":""Th""}]";10:30am -  11:45am;This course is an introduction to the field of natural language semantics, which is a branch of linguistics concerned with meaning. What does it mean to know the meaning of a sentence? How do different parts of a sentence compose to form a sentence meaning? We will start by looking at sentence-level meanings and relations between them. Then, we will investigate how the meanings of sentence-internal elements (like verbs, subjects, and adjectives) are composed to form sentence meanings. During the
AFRAMER  113X;Fiction Writing: Workshop;Kincaid;African & African Amer Studies;2022 Spring;"[{""days"":""W""}]";12:00pm -  2:45pm;A seminar/workshop. Readings include Bruno Schultz, Jean Toomer, Robert Walser, and Rimbaud's Illuminations, among others. Taught at English Department as ENGLISH CVR.
PHIL  158B;Political Psychology (MBB Seminar);Siegel;Philosophy;2022 Spring;"[{""days"":""W""}]";3:00pm -  5:45pm;An investigation of the kinds of perceptions, emotions, affect, and imagination that facilitate and anti-facilitate democratic and anti-democratic forms of politics. Readings from philosophy, psychology, and political theory.
COMPSCI  50;Introduction to Computer Science;Malan;Computer Science;2021 Fall;"[{""days"":""M""}]";1:30pm -  4:15pm;Introduction to the intellectual enterprises of computer science and the art of programming. This course teaches students how to think algorithmically and solve problems efficiently. Topics include abstraction, algorithms, data structures, encapsulation, resource management, security, software engineering, and web programming. Languages include C, Python, and SQL plus HTML, CSS, and JavaScript. Problem sets inspired by the arts, humanities, social sciences, and sciences. Course culminates in a f
HEBREW  198;Sacred Space and Sacred Time in Ancient Israel;Rhyder;Near Eastern Languages & Civ;2021 Fall;"[{""days"":""M""}]";3:00pm -  5:45pm;Sacred space and sacred time were two axes of religion and culture in antiquity. What purpose did they serve in ancient Israel? This course explores the major shrines and festal celebrations that shaped the history of ancient Israel. It considers the processes by which the Israelite cult was gradually centralized to a small number of temples and priestly families, and how a fixed calendar of annual pilgrimages was promoted across a growing diaspora.&n
HIST 1973;Re-Wilding Harvard;Chaplin;History;2022 Spring;"[{""days"":""W""}]";12:45pm -  2:45pm;"This class uses history to make a difference in the natural world. Rewilding returns a habitat to an earlier form to promote biodiversity; urban rewilding does this within urban spaces. In this class, we will research historical and cultural definitions of wilderness and landscape, identify what precolonialist habitats were like in New England, survey how such places might be restored, and then contribute to a ten-year urban rewilding plan for Harvard, including an outdoor exhibit for the Harvar"
PLSH  AA;Elementary Polish I;Kovalchuk;Slavic Languages & Literatures;2021 Fall;"[{""days"":""M""},{""days"":""W""},{""days"":""F""}]";10:30am -  11:45am;Part one of a two part introductory course in modern Polish language and culture, designed for students without previous knowledge who would like to speak Polish or use the language for reading and research. All four major communicative skills (speaking, listening comprehension, reading, writing) are stressed. Students are exposed to Polish culture through reading of prose and poetry as they learn to use the language both as a means of communication and as a tool for reading and research.
SLAVIC  143;Eastern European Modernism, 1918-1939;Strikha;Slavic Languages & Literatures;2022 Spring;"[{""days"":""Th""}]";12:00pm -  2:00pm;Although European modernism is often seen as setting up a strict hierarchy between high and low art, the most interesting experiments were happening, as they always do, on the margins, in the shifting borderlands between cultures, languages and ideologies. This course will introduce students to the styles and themes of literary modernism based on novels, short stories, film, and graphic art from the interwar period in Eastern Europe. Bringing together works written in Polish (Bruno Schulz, Witol
TIGRINYA  101BR;Advanced Tigrinya II;Mugane;African & African Amer Studies;2022 Spring;[];-  TBA;A study of Tigrinya a major language spoken in Ethiopia at the Advanced level in the Spring semester. As needed, successive advanced readings Tigrinya may be taken under Tigrinya 101br every Spring.
ENGLISH  CBN;Creative Nonfiction: Before and Beyond the (Imaginary White) Reader;Kane;English;2021 Fall;"[{""days"":""T""}]";9:00am -  11:45am;Writers of literary, lyrical nonfiction negotiate complex power dynamics with their selves, communities, subjects, and readers. In this workshop we will conduct an intensive study of the craft techniques writing of creative nonfiction, focusing on the balance between the politicization of witness, descriptive detail, and narrative voice. Given that one of the great imaginative allures of lyric prose is that it can invent its audience as much as it can invent its speaker, how do writers of creati
YIDDISH  CA;Advanced Yiddish I;Feldman;Near Eastern Languages & Civ;2021 Fall;"[{""days"":""T""},{""days"":""Th""}]";1:30pm -  2:45pm;"Building on the skills gained in Yiddish BA/BB, the emphasis of this course is on gaining ease in reading, speaking, writing, and listening comprehension. Students will be guided in exploring their individual areas of interest in Yiddish culture, and will be encouraged to begin producing their own research, creative projects, and translations; taking part in the latest developments in online Yiddish publishing and digital humanities scholarship. Continued exposure to a wide variety of textual an"
ARMEN  CA;Advanced Modern Western Armenian;Gulesserian;Near Eastern Languages & Civ;2022 Spring;"[{""days"":""T""},{""days"":""Th""}]";4:30pm -  5:45pm;Building on the skills gained in Armenian BA/BB, this advanced language course will help students further develop their Western Armenian reading, writing, speaking, and listening skills. In the course, students will be encouraged to explore their individual areas of interest in Armenian culture while conducting their own research and producing creative projects and literary translations. Course materials will include selections from Western Armenian literature, drama, film, music, radio, periodi
JAPAN  130A 002;Intermediate Japanese II;Graham;East Asian Langs & Civ;2021 Fall;"[{""days"":""M""},{""days"":""T""},{""days"":""Th""},{""days"":""F""}]";12:00pm -  1:00pm;Third-year intermediate advanced course. Development of skills in reading authentic materials from contemporary Japanese media and fiction and in aural comprehension of contemporary television news and drama with decreased reliance on pedagogical aids. Development of speaking and writing skills to an increasingly sophisticated level. Introduction of approximately 200 additional Chinese characters beyond those introduced in 120b.
TDM  118;Acting Alone: The Monologue;Airaldi;Theater, Dance & Media;2022 Spring;"[{""days"":""M""}]";3:00pm -  5:45pm;"This course will focus on the selection, rehearsal and performance of monologues. The ability to work on a monologue--whether in the context of a play, film or as an audition piece-- is a foundational skill for all actors. We will explore various techniques to allow greater emotional, vocal and physical expressiveness in both classical and contemporary material. We’ll study specific approaches to help students ""act alone"" creatively, honestly, and spontaneously. Students will als"
HEB 1317;Evolution, Anatomy and Physiology of Sleep;Clark Matott;Human Evolutionary Biology;2022 Spring;"[{""days"":""T""},{""days"":""Th""}]";4:30pm -  5:45pm;This research seminar will introduce students to current theories on the evolution of sleep, the neuroanatomical circuits regulating sleep and wake, and the interpretation of physiological sleep recordings and sleep diary data. Students will also gain insight into experimental design, data collection, and data analysis. This twice-weekly seminar will consist of mini-lectures, group discussion, and in-class and own-time data analyses.
HIND-URD  105R 003;Topics in Hindi-Urdu Literature;Kovacs;South Asian Studies;2022 Spring;[];-  TBA;Individual reading course. A course for students with native or near-native proficiency with readings in a variety of genres from Hindi and/or Urdu literature based on student interest.
COMPLIT  114;Mysticism and Literature;Giron Negron;Comparative Literature;2022 Spring;"[{""days"":""W""}]";9:00am -  11:45am;"Examines trends, issues and debates in the comparative study of mystical literature. Close readings of primary works by Jewish, Christian and Muslim authors from the Middle Ages through the 16th century. Topics include poetry and mysticism; allegory, symbolism and Scripture; body and gender; apophasis vs cataphasis; exemplarity and autobiographism; language and experience. Also examines creative engagement of pre-modern mystical literature in selected works by modern authors (Borges, T.S. Eliot)"
ASTRON  100;Methods of Observational Astronomy;Berger;Astronomy;2022 Spring;"[{""days"":""T""},{""days"":""Th""}]";10:30am -  11:45am;In this course we will learn the basic tools of modern astronomical research, including telescopes, detectors, imaging, spectroscopy, and common software. Emphasis will be placed on both the theory behind telescopes and their use, and hands-on experience with real data. Using this basic knowledge we will analyze science-level astronomical data from a wide range of telescopes and review the basic properties of stars, galaxies, and other astronomical objects of interest. The course includes a trip
ENGLISH  184CF;City Fictions;Menon;English;2021 Fall;"[{""days"":""M""},{""days"":""W""}]";9:00am -  10:15am;Cities are composed of contradictions: playgrounds for the rich and sites of concentrated poverty, highly organised and totally chaotic, an endless party and the loneliest places on earth. How do we write about them? In this course, we will examine how a range of writers represent city life in four major metropolises: London, Bombay, New York, and Tokyo. We will focus primarily on one book set in each of these cities—Charles Dickens’ Bleak House, Suketu Mehta’s Maximu
HIST 1026;Rise and Fall of Postwar Japan;Gordon;History;2021 Fall;"[{""days"":""T""},{""days"":""Th""}]";1:30pm -  2:45pm;Examines Japan’s rise from the ashes of wartime defeat to global economic power and subsequent stagnation, with primary focus on society and economy.  Considers the value and the limits of a narrative of “rise and fall” as the framework for understanding the 75 years since World War II, with focus on trends in gender roles, social (in)equality, and human impact on the environment.  Asks how have people in postwar Japan, and the government, explained to themselves and
GOV 1780;International Political Economy;Frieden;Government;2021 Fall;"[{""days"":""M""},{""days"":""W""}]";3:00pm -  4:15pm;Analyzes the interaction of politics and economics in the international arena. Focuses on international trade, investment, monetary, and financial relations. Includes discussion of developed, developing, and formerly centrally-planned nations.
E-PSCI  161;Applied Environmental Toxicology;Sunderland;Earth & Planetary Sciences;2022 Spring;"[{""days"":""T""},{""days"":""Th""}]";1:30pm -  2:45pm;"This course will examine the theory and practical application of environmental chemistry and toxicology for assessing the behavior, toxicity and human health risks of chemical contaminants in the environment. The goals of the course are to: (a) illustrate how various sub-disciplines in environmental toxicology are integrated to understand the behavior of pollutants; (b) demonstrate how scientific information is applied to inform environmental management decisions and public policy through severa"
GOV 1292;Politics in Brazil;Hagopian;Government;2021 Fall;"[{""days"":""M""},{""days"":""W""}]";3:00pm -  4:15pm;Interactive course introduces students to contemporary politics and policy in Latin America's largest country. Examines the colonial origins of inequality and truncated democracy, twentieth century authoritarianism and democratization, the design of political institutions, and such contemporary policy challenges as health, security, and the environment. Emphasis is on how the mobilization of civil society, stronger political parties, and innovative social policies deepened citizen participat
TDM  149;Latinx Movement: Embodied Intersections of Latin Dance, Music, and Communal Practice;ROD;Theater, Dance & Media;2021 Fall;"[{""days"":""T""},{""days"":""Th""}]";10:30am -  11:45am;A warm invitation to get up, connect with our bodies, and move together after a long day of zooming. Latinx Movement Practice rigorously explores the social and communal Latin Diaspora of movement, migration, and music from Mexico, the Caribbean, South America, and the United States. The course is taught with a blend of English, Spanish, and Spanglish.Together we will investigate and deepen our use of horizontal and vertical weight, isolations, polycentric movements, and hip whining techniques.
VIETNAM  120B;Intermediate Vietnamese;Ngo;East Asian Langs & Civ;2022 Spring;"[{""days"":""M""},{""days"":""W""}]";3:00pm -  5:00pm;Continuation of Vietnamese 120a. Further development of speaking, reading, writing, and aural comprehension. Texts and dialogues on Vietnamese geography, history, culture, and customs will be used, as well as audiotapes and videos. Students are expected to speak Vietnamese in all class discussions.
ECON 1644;Market Power in the New Economy;Kalouptsidi;Economics;2021 Fall;"[{""days"":""M""},{""days"":""W""}]";1:30pm -  2:45pm;This course studies firms, markets and competition, in the context of today's (globalized) world. Nowadays, in the majority of markets, a handful of firms interact strategically and compete in numerous dimensions, including prices, products offered, advertising and investment. We will use formal models in order to address questions like: Why are markets organized the way they are? How does market organization affect firm behavior, such as firm production or pricing? How does the behavior of
ANTHRO 1058;Bias in Archaeology;Flad;Anthropology;2022 Spring;"[{""days"":""W""}]";9:00am -  11:45am;This seminar will focus broadly on bias in archaeology, covering issues of bias in authorship, citations, accessibility, popular media coverage, fieldwork, training and education, hiring and promotion and other related topics. We will also address recent research that focuses on disrupting patterns of bias in some of these areas. Students will engage in original research or synthesize research topics in one or more of these areas for their final project.
NEURO 1401;Computational Cognitive Neuroscience: Building Models of the Brain;Gershman;Neuroscience;2022 Spring;"[{""days"":""W""},{""days"":""F""}]";3:00pm -  4:15pm;"""What I cannot create, I do not understand."" This course applies Richard Feynman's dictum to the brain, by teaching students how to simulate brain function with computer programs. Special emphasis will be placed on how neurobiological mechanisms give rise to cognitive processes like learning, memory, attention, decision-making, and object perception. Students will learn how to understand experimental data through the lens of computational models, and ultimately how to build their o"
ENG-SCI  121;Introduction to Optimization: Models and Methods;Levine;Engineering Sciences;2021 Fall;"[{""days"":""T""},{""days"":""Th""}]";9:00am -  10:15am;Introduction to basic mathematical ideas and computational methods for solving deterministic optimization problems. Topics covered: linear programming, integer programming, branch-and-bound, branch-and-cut. Emphasis on modeling. Examples from business, society, engineering, sports, e-commerce. Exercises in AMPL, complemented by Mathematica or Matlab.
SOCIOL 1162;Nationalism and Political Attitudes in the US and Israel;Feinstein;Sociology;2022 Spring;"[{""days"":""T""}]";9:45am -  11:45am;In the past three decades, studies in the United States and other countries have exposed links between people’s national identities national beliefs (for example, beliefs about the boundaries of the national group, about core national values, or the nation’s standing vis-à-vis other nations) and their political attitudes and policy preferences in areas such as foreign affairs, welfare policies, and immigration. This seminar will introduce students to research on how national i
MUSIC  108R;(re)Facing (g)Odds: Black Improvisational Music and Dance;Spalding;Music;2022 Spring;"[{""days"":""T""}]";12:45pm -  2:45pm;(re)Facing (g)Odds: Black improvisational music, and danceThrough a north American jazz lens, this immersive research-performance course charts and explores the histories, connections, evolutions and fissures between Black improvisational-dance and live improvisational-music.  Guided and informed by elder/expert teach-ins, archival research, audio and video transcription, dance-based ancestral recall, physical improv, performance devising, failure and iteration, members of this class w
COMPLIT  123;Isolation and Islands;Shell;Comparative Literature;2022 Spring;"[{""days"":""M""}]";3:00pm -  5:45pm;Islands, both a part of and apart from the main, offer ready-made laboratories for linguistic, biological and political investigation. Islandness as such encourages national literature, philosophy, and vacation.  Our seminar, with its ecological and philosophical focus, centers on fictional and factual islands as well as Canadian ice floes, the always changing marine coastlines of tidal islands, and Planet Earth itself. Critical readings include: Peter Sloterdijk’s Foams,&nb
LING  104;Word Structure;Bobaljik;Linguistics;2021 Fall;"[{""days"":""T""},{""days"":""Th""}]";12:00pm -  1:15pm;This course investigates the nature and structure of words through the lens of contemporary morphological theory. What's in a word? Topics include the place of word formation in relation to phonological and syntactic phenomena, morphological processes, and the nature of the lexicon. Emphasis on the analysis of morphological phenomena in a range of typologically diverse languages.course requirement: LING 83 or LING 101
MCB  111;Mathematics in Biology;Rivas;Molecular & Cellular Biology;2021 Fall;"[{""days"":""M""},{""days"":""W""},{""days"":""F""}]";10:30am -  11:45am;MCB111 is meant for biologists who want to learn mathematical principles relevant to current biological research, as well as for mathematically oriented students who want to explore applications in biology.  The course theme is mathematical modeling of biological processes, with a special emphasis on probabilistic models and inference. More than half of the course covers topics on information theory, Bayesian inference, statistics, probabilistic modeling, and neural networks. The last secti
COMPLIT  180;Bargaining with the Devil: the Faust Legend;Hamilton;Comparative Literature;2022 Spring;"[{""days"":""W""}]";12:45pm -  2:45pm;"The course focuses on the Faust legend, its elaboration in poetic history, and its formative role in the development of German literature and philosophy. In addition to a detailed study of Goethe’s masterwork, discussions focus on a number of related themes, including: the problem of evil and moral philosophy; human cognition and will; alchemy and forbidden knowledge; and the insatiable lust for learning."
ENGLISH  179H;The Harvard Novel;Blum;English;2021 Fall;"[{""days"":""T""},{""days"":""Th""}]";10:30am -  11:45am;"This course introduces the genre of the “Harvard novel,” from W.E.B. Du Bois's notes toward his fictional work ""A Fellow of Harvard"" to Elif Batuman’s The Idiot and Zadie Smith’s On Beauty, in order to examine Harvard’s cultural meaning and significance. It brings together novels (and films) where Harvard offers the narrative setting, supplies a character’s backstory, or even s"
MATH  116;Real Analysis, Convexity, and Optimization;Bamberg (he);Mathematics;2021 Fall;"[{""days"":""T""},{""days"":""Th""}]";10:30am -  11:45am;Develops the theory of convex sets, normed infinite-dimensional vector spaces, and convex functionals and applies it as a unifying principle to a variety of optimization problems such as resource allocation, production planning, and optimal control. Topics include Hilbert space, dual spaces, the Hahn-Banach theorem, the Riesz representation theorem, calculus of variations, and Fenchel duality. Students will be expected to understand and come up with proofs of theorems in real and functional
HEB 1334;Grunts, gurgles, and grammar: primate communication and the origins of language;Schamberg;Human Evolutionary Biology;2021 Fall;"[{""days"":""M""},{""days"":""W""}]";3:00pm -  4:15pm;This seminar investigates the evolution of language through comparison of human and non-human systems of communication. Over the course of the semester, students will address four big questions: 1) How does language differ from the communication of other primates? 2) How do infants learn language? 3) What is the relationship between cognition and language? 4) For what function did language evolve? In addressing these questions, the class will draw on findings from psychology, anth
SANSKRIT  104A;Introduction to the Rigveda: Readings I;Smith;South Asian Studies;2021 Fall;[];-  TBA;This course closely examines the grammar and poetic language of the Rigveda, the oldest known text in South Asia, with a special focus on the cultural context of its hymns.
CHNSE  120B 002;Intermediate Modern Chinese;Yang;East Asian Langs & Civ;2022 Spring;"[{""days"":""T""},{""days"":""Th""}]";12:00pm -  1:00pm;Continuation of Chinese 120a. This course focuses on the consolidation of the foundational skills acquired in Ba-Bb, introduces more complex grammatical structures, and develops students' understanding and knowledge of Chinese culture.
LING  112;Syntactic Theory I;Huang;Linguistics;2021 Fall;"[{""days"":""M""}]";3:00pm -  5:00pm;This course provides an intensive introduction to generative syntactic theory. Emphasis on syntactic argumentation. Topics center on foundational problems in the theory of syntax, including phrase structure of nominals and clauses, varieties of movement, locality, argument structure, ellipsis case agreement, and the syntax-semantics interface.
EASTD  153;Buddhism, Japanese Arts and Culture;Abe;East Asian Langs & Civ;2022 Spring;"[{""days"":""T""},{""days"":""Th""}]";3:00pm -  4:15pm;This course is designed to enable students to analyze a wide range of Japanese cultural creations - including the traditional Noh theater, classical and modern Japanese paintings, and contemporary anime – by illustrating the influence of Buddhism both in their forms and at their depths. The first part of the course is a study of major Buddhist philosophy and its impact on Japanese literature. The second part observes Buddhist ritual practices and their significance for Japanese performing
LING  143;Morphosemantics;Adamson;Linguistics;2021 Fall;"[{""days"":""M""}]";9:45am -  11:45am;This course explores how nominal features like person, number, and grammatical gender are formally marked as well as interpreted, with greatest attention paid to grammatical gender. Are categories such as “masculine”, “feminine”, and “neuter” linguistically on equal footing, or are there asymmetries in how they are morphologically expressed or in how they map onto meanings? Are these categories represented consistently across languages? Depending on enrollee/p
GOV 1243;Russian Politics in Transition;Colton;Government;2021 Fall;"[{""days"":""T""},{""days"":""Th""}]";9:00am -  10:15am;An examination of politics in the Russian Federation since the collapse of Soviet communism, focusing on the factors promoting and impeding the development of a stable democratic regime. Topics include the general dynamics of political and economic transformation, leadership, institution building, political culture, regionalism and federalism, electoral and party politics, state-society relations and interest groups, and Russian nationalism and neo-imperialism.
NEURO  101LA;The Neurobiology of Sleep and its Role in Mental Health;TBA;Neuroscience;2021 Fall;"[{""days"":""M""}]";6:00pm -  7:15pm;The scientific study of sleep is both highly in terdisciplinary and among the most unifying of topics in psychology and the neurosciences. In the past several decades, exciting new discoveries on the neurobiology of sleep have been facilitated by technologies such as functional neuroimaging and molecular genetics. Sleep science exemplifies the translational approach in biomedical science whereby investigators in human and animal research work together to continually advance the field of sleep me
ARMEN  AB;Elementary Modern Western Armenian II;Gulesserian;Near Eastern Languages & Civ;2022 Spring;"[{""days"":""M""},{""days"":""T""},{""days"":""W""},{""days"":""Th""}]";3:00pm -  4:15pm;A continuation of Armenian AA. Introduction to Western Armenian language, literature, and culture. Over the course of one year, students will acquire a thorough grounding in Western Armenian grammar and will develop foundational reading, writing, speaking, and comprehension skills. Students will be introduced to centuries of culture produced by the global Armenian diaspora. Readings will include modern and classical Western Armenian literature, drama, film, music, radio, periodicals, a
SANSKRIT  102AR;Intermediate Sanskrit I;Hawley;South Asian Studies;2021 Fall;"[{""days"":""M""},{""days"":""W""},{""days"":""F""}]";10:30am -  11:45am;The intermediate-level Sanskrit course enables students to interpret Sanskrit texts in three major genres: epic, poetry, and scholarly prose. Students expand and strengthen the skills in reading comprehension, grammatical analysis, and vocabulary retention that they developed during the first year of study. Students will be able to dissect and describe nominal compounds, verbal forms, poetic meters, and morphological and syntactical features of Sanskrit words, sentences, and verses in greater de
EMR  148;Indigeneity and Latinidad;Mendoza-Mori;Ethnicity, Migration, Rights;2022 Spring;"[{""days"":""W""}]";3:00pm -  5:45pm;As the original inhabitants of the Americas, Indigenous communities resist and thrive across the hemisphere, despite the dynamics of colonization that still affect their existence and way of living. Many prejudices affect these communities, sometimes perceived as ‘timeless’ and ‘pure’ subjects, when in reality adaptation and migration have been a constant characteristic for many of these groups. The course offers an exploration of the diversity of Indi
